,Biodiversity and Land Use,Carbon Emissions,Climate Change Vulnerability,Electronic Waste,Financing Environmental Impact,Opportunities in Clean Tech,Opportunities in Green Building,Opportunities in Renewable Energy,Packaging Material and Waste,Product Carbon Footprint,Raw Material Sourcing,Toxic Emissions and Waste,Water Stress,Accounting,Board,Business Ethics,Ownership and Control,Pay,Tax Transparency,Access to Communications,Access to Finance,Access to Health Care,Chemical Safety,Community Relations,Controversial Sourcing,Financial Product Safety,Health and Demographic Risk,Health and Safety,Human Capital Development,Labor Management,Opportunities in Nutrition and Health,Privacy and Data Security,Product Safety and Quality,Responsible Investment,Supply Chain Labor Standards
0,0.024063125,0.030753508,0.35938457,0.19263479,0.47099212,0.113919385,0.74935925,0.13282719,0.046338446,0.05284306,0.12561382,0.18548796,0.0068703108,0.21926604,0.028458133,0.07601075,0.091501564,0.1030428,0.078389876,0.5221672,0.56673104,0.48515576,0.17585778,0.7179943,0.5689206,0.2796866,0.69864064,0.9543505,0.007665113,0.013571899,0.05662504,0.001567462,0.08231876,0.22211729,0.044577364
1,0.031776287,0.016670369,0.47436693,0.21517134,0.34947065,0.1287711,0.042033404,0.03972506,0.030084444,0.067712165,0.32346243,0.15582661,0.018292498,0.6025665,0.034510616,0.019286592,0.30162752,0.1432621,0.09013759,0.445625,0.2877564,0.35850722,0.1377392,0.10970925,0.63367546,0.2944663,0.93706274,0.98035586,0.008309866,0.042883188,0.099845305,0.0020096372,0.03626485,0.14627035,0.0056019956
2,0.15796657,0.83848834,0.68330157,0.31616196,0.35197875,0.23417874,0.13907743,0.2771604,0.05259569,0.35468993,0.22668932,0.20307234,0.040336706,0.20747846,0.22916004,0.034186784,0.7062826,0.1803445,0.40290496,0.3727583,0.2669078,0.6233923,0.14753303,0.011894679,0.46619877,0.29945207,0.5446383,0.028799277,0.0035046423,0.047081813,0.29894814,0.014961695,0.14151561,0.18780647,0.025247494
3,0.023572268,0.036692355,0.49019298,0.2152866,0.35131717,0.10059159,0.09708688,0.07390263,0.020349076,0.13649297,0.06289503,0.10873957,0.0044212127,0.5758977,0.08788006,0.03658477,0.45878297,0.0950782,0.5802312,0.4152889,0.31933737,0.9306894,0.14011768,0.35709414,0.37106466,0.28812903,0.88168216,0.36053184,0.004060161,0.015562696,0.20474145,0.0015562219,0.030994529,0.16131733,0.008204725
4,0.0110035045,0.025896104,0.20629378,0.56863385,0.36309153,0.51098263,0.052944273,0.01799959,0.029960433,0.23612225,0.16981159,0.2559133,0.0019167691,0.14867227,0.004544271,0.009773884,0.08865668,0.09667297,0.043774564,0.40204915,0.2775883,0.993515,0.7949607,0.018593632,0.62750995,0.30305257,0.9071323,0.50022835,0.0013919922,0.004824687,0.08233343,0.0075763664,0.4223021,0.20172013,0.027055679
5,0.025600975,0.023228874,0.5796958,0.27334633,0.3108292,0.19157562,0.13253959,0.034329195,0.030713351,0.18754138,0.16043258,0.12714104,0.16821204,0.48590088,0.0245949,0.036797747,0.6619394,0.13226779,0.35169762,0.40405384,0.27761927,0.9680315,0.11010836,0.23834206,0.7021824,0.31679553,0.86922777,0.9700153,0.011758455,0.054072604,0.3667272,0.0017386018,0.04091768,0.19525039,0.008122838
6,0.028798308,0.3575377,0.30309564,0.20487033,0.40247887,0.10320517,0.034078404,0.3517803,0.047101334,0.06321352,0.15659279,0.5570267,0.0033283604,0.8701989,0.90728813,0.9583997,0.24578993,0.14081734,0.07986344,0.46223414,0.45083097,0.12779246,0.34895527,0.016670214,0.26808056,0.313404,0.87817144,0.085846215,0.19269098,0.02824045,0.14545304,0.005448073,0.13487463,0.13095865,0.007439702
7,0.02892067,0.38067603,0.6257598,0.18431675,0.39261043,0.102831095,0.05743868,0.052593123,0.045830123,0.17115475,0.20635349,0.16518462,0.011982294,0.64663476,0.070091605,0.6199726,0.23689412,0.12222909,0.17271122,0.34822917,0.28562552,0.77715415,0.11586849,0.03131753,0.37082115,0.27501962,0.8522004,0.8454839,0.17628293,0.025990194,0.14264533,0.0022523445,0.058329836,0.1523067,0.024508746
8,0.28125224,0.09360795,0.6507441,0.35878447,0.34201798,0.31744415,0.49049473,0.5136499,0.057879813,0.384478,0.334653,0.26064262,0.0436216,0.4378676,0.32767877,0.030377071,0.5098201,0.17597158,0.32205066,0.36602664,0.25244522,0.48538658,0.16950026,0.071434446,0.44719118,0.28723818,0.62576634,0.12561439,0.013220445,0.16525811,0.48148754,0.005031628,0.14475468,0.16345313,0.020400146
9,0.022234967,0.016373709,0.5783856,0.14345108,0.39773688,0.5249189,0.042093888,0.018588902,0.035501655,0.047876436,0.08076909,0.35398844,0.006672567,0.13160305,0.004480544,0.015077067,0.18592173,0.051725633,0.03214442,0.38328877,0.36320215,0.9932696,0.5130283,0.541934,0.47883227,0.25655922,0.26204228,0.03570363,0.0021859664,0.004447919,0.062622875,0.0011851038,0.21511094,0.13546039,0.02355075
10,0.014984482,0.008245904,0.44850376,0.23934288,0.38418102,0.12933308,0.1961227,0.02300462,0.042590544,0.093988866,0.100424245,0.2580931,0.005614648,0.15488665,0.0039803986,0.021377997,0.08263195,0.07848787,0.030357007,0.4366014,0.4271065,0.99405754,0.24959654,0.27641174,0.3496394,0.26116705,0.9178601,0.10937082,0.0026620554,0.0055126427,0.11547155,0.0014087906,0.1005899,0.19596072,0.049243137
