,Biodiversity and Land Use,Carbon Emissions,Climate Change Vulnerability,Electronic Waste,Financing Environmental Impact,Opportunities in Clean Tech,Opportunities in Green Building,Opportunities in Renewable Energy,Packaging Material and Waste,Product Carbon Footprint,Raw Material Sourcing,Toxic Emissions and Waste,Water Stress,Accounting,Board,Business Ethics,Ownership and Control,Pay,Tax Transparency,Access to Communications,Access to Finance,Access to Health Care,Chemical Safety,Community Relations,Controversial Sourcing,Financial Product Safety,Health and Demographic Risk,Health and Safety,Human Capital Development,Labor Management,Opportunities in Nutrition and Health,Privacy and Data Security,Product Safety and Quality,Responsible Investment,Supply Chain Labor Standards
0,0.0080762,0.82237214,0.2447416,0.39788905,0.5143708,0.75573385,0.97851336,0.9919321,0.013163474,0.9225519,0.80908036,0.10387617,0.013717107,0.11971099,0.0021878653,0.002295126,0.03277685,0.047373347,0.017538883,0.23346394,0.35889962,0.0049740053,0.09803316,0.0040054433,0.1567149,0.2885591,0.057870593,0.001691791,0.0007694077,0.0030767063,0.01808013,0.0010877417,0.020498605,0.27331057,0.008224998
1,0.005272811,0.974311,0.1938138,0.870667,0.42255965,0.67863846,0.036827475,0.98385334,0.012052882,0.8356643,0.30862045,0.0918079,0.41372597,0.311617,0.0037769403,0.0026360077,0.04745671,0.06190138,0.018853758,0.3489034,0.5177614,0.005115386,0.103279114,0.00434543,0.16311334,0.28162324,0.123741895,0.001538309,0.0007789321,0.0027644588,0.023056772,0.001517221,0.01823335,0.49686378,0.018642945
2,0.017743528,0.10008219,0.2767063,0.1755614,0.34470445,0.10468245,0.02817186,0.60879564,0.02837286,0.04968059,0.111344494,0.1447535,0.9978709,0.72110814,0.8908945,0.0049733017,0.42262277,0.18868837,0.03414689,0.291006,0.26799458,0.038120266,0.094403826,0.011442116,0.17897831,0.31295592,0.34896615,0.0024030965,0.0021598078,0.0040420527,0.062330283,0.0014568778,0.021687573,0.123804145,0.006370687
3,0.68125474,0.852702,0.5538944,0.52587754,0.40673128,0.2651178,0.5037517,0.12041677,0.71873266,0.33535555,0.37738538,0.6650402,0.07173867,0.8265022,0.85791254,0.9646721,0.7494744,0.18140228,0.4889568,0.47879866,0.35196647,0.8550277,0.40444824,0.072924316,0.42217997,0.27479813,0.67917305,0.7239318,0.25419763,0.3475046,0.5614275,0.2779423,0.86324525,0.23748153,0.1948857
4,0.13571028,0.42566475,0.6081563,0.25969917,0.30829635,0.15341885,0.18618557,0.16297479,0.048273332,0.16152592,0.20782912,0.13502507,0.9984701,0.52948284,0.0066538528,0.006090787,0.5479052,0.08060774,0.023878712,0.33836517,0.26515695,0.01198689,0.09823157,0.008433624,0.2385935,0.30051523,0.61835724,0.0028270197,0.0013577497,0.003198045,0.116206706,0.0011970231,0.028903695,0.15416738,0.024217548
5,0.009203659,0.69559187,0.515825,0.15092678,0.3764991,0.55047584,0.026313202,0.25926474,0.033053655,0.13541913,0.10452306,0.111593105,0.002335038,0.10397874,0.007480684,0.0063176295,0.14989297,0.07661028,0.021723812,0.28375715,0.3098665,0.016931208,0.09819332,0.06737634,0.1831177,0.3691543,0.9162526,0.002095507,0.11721745,0.019586058,0.019814542,0.011517847,0.027625373,0.109227076,0.0093057
6,0.060631387,0.95687246,0.3773032,0.34813184,0.45109516,0.15113655,0.073466584,0.22741012,0.91791654,0.1291137,0.32910845,0.7474041,0.003050437,0.83751774,0.8409757,0.97438973,0.2752842,0.15807387,0.043145064,0.42677316,0.425474,0.23250268,0.47744027,0.026023723,0.23257196,0.27905107,0.40629444,0.1208889,0.9586192,0.1260609,0.6621329,0.69234395,0.58143646,0.16506352,0.40609872
7,0.015151249,0.5173411,0.36639497,0.13034907,0.3834898,0.113467515,0.028533887,0.10559918,0.033138257,0.065198824,0.09576167,0.10990344,0.0035512012,0.645992,0.023729665,0.0066007213,0.11351288,0.10286643,0.03285486,0.27956256,0.26902393,0.064339325,0.084786914,0.024048707,0.2008792,0.321539,0.10392027,0.003091856,0.004919956,0.02487153,0.1460452,0.001328391,0.029958772,0.13839,0.6543092
8,0.025323713,0.36643785,0.23238519,0.111049466,0.45501465,0.11091979,0.022799954,0.10022886,0.031454425,0.04358974,0.11218349,0.09956965,0.0027202673,0.13589892,0.005971433,0.006434419,0.06501277,0.090350606,0.023020484,0.3202768,0.3282944,0.040235385,0.07979675,0.024702618,0.14895017,0.28981182,0.09648064,0.0025036607,0.0040547485,0.036002435,0.06911,0.0012056907,0.02561107,0.11687973,0.9451483
9,0.010095589,0.44856155,0.46670955,0.16450368,0.3547389,0.11834394,0.042748895,0.9467882,0.026086967,0.13436443,0.0853049,0.09708218,0.28919408,0.43215892,0.04557651,0.005544219,0.45595893,0.07068002,0.036884498,0.263378,0.26885852,0.048525505,0.08251728,0.018541345,0.19753733,0.31673896,0.14341865,0.0018618875,0.0011441846,0.0033625208,0.024818012,0.0012079627,0.024993083,0.13866086,0.0052087526
10,0.033747617,0.9812991,0.5697194,0.1673283,0.37731412,0.33188206,0.06955653,0.3247107,0.05334149,0.9169031,0.17028464,0.1475469,0.99876285,0.119481266,0.002826615,0.0025226672,0.18089075,0.05517637,0.026387637,0.25532705,0.2716932,0.006913044,0.19687663,0.015604165,0.6012373,0.33696944,0.085236005,0.0020088474,0.00085385074,0.0033548337,0.020080296,0.0010926677,0.030612048,0.3456268,0.18142837
11,0.1871234,0.8743899,0.6363982,0.20725077,0.32305667,0.56790423,0.10232361,0.39353207,0.022537043,0.8523295,0.13517372,0.10223583,0.99874204,0.13910723,0.004166282,0.0034402707,0.73818254,0.07631174,0.020683218,0.2311984,0.2862072,0.009076434,0.08442478,0.025651451,0.35636,0.3579537,0.13008918,0.0019121432,0.0009161584,0.0028522697,0.023074009,0.0011753243,0.036554664,0.26886395,0.007529015
12,0.9804498,0.95854753,0.64309615,0.15962319,0.3986293,0.12199674,0.0666387,0.21107773,0.03863962,0.9150314,0.22704372,0.14568402,0.9871935,0.12033505,0.00623753,0.017220998,0.25422156,0.074827954,0.20374762,0.32113722,0.31523564,0.009462615,0.12013644,0.052816324,0.50373095,0.3130611,0.16804947,0.0033459873,0.001723786,0.0058283033,0.041995894,0.0012420357,0.023734434,0.15136229,0.019489506
13,0.16767183,0.02451125,0.37493652,0.14427277,0.42287678,0.10412931,0.021596607,0.95224464,0.024843397,0.8584669,0.1598579,0.087817974,0.0037172595,0.124376826,0.0061899624,0.011900194,0.47170144,0.07282539,0.074178204,0.30144292,0.30557513,0.015984714,0.08081945,0.99544585,0.28983894,0.30195725,0.59094167,0.0032698775,0.0013034671,0.0046841875,0.09942473,0.0011994935,0.022400824,0.15593271,0.005542818
14,0.1450071,0.71842486,0.4944178,0.529872,0.32734373,0.6502339,0.1395236,0.9417747,0.039491054,0.9190135,0.64318746,0.1619441,0.9856743,0.66133434,0.007126798,0.008988261,0.7373982,0.44672996,0.09359582,0.31065777,0.25690818,0.8157163,0.15528017,0.986245,0.4886386,0.44111645,0.5795404,0.0031813867,0.0033075965,0.1449224,0.08334877,0.0046278248,0.029303195,0.28719738,0.05295123
15,0.008688104,0.9662199,0.46662486,0.26134843,0.4194251,0.14755473,0.030799624,0.42520738,0.39632753,0.14488338,0.23159863,0.23290175,0.9986467,0.10790087,0.00661199,0.0059790323,0.52827626,0.072651535,0.022670463,0.29262725,0.37428412,0.041665826,0.38411084,0.0068754856,0.16508844,0.29590937,0.3058756,0.001862939,0.0009623157,0.0032776324,0.027118368,0.0011951136,0.016246704,0.16592883,0.0064760074
16,0.63699275,0.96835977,0.46834219,0.51714855,0.4882483,0.18254866,0.23877016,0.16297649,0.8787649,0.24914236,0.38475674,0.69594544,0.04050443,0.81017977,0.8655804,0.97873986,0.5503177,0.16616936,0.2395558,0.4786269,0.49242648,0.88902116,0.49485123,0.060668316,0.33212942,0.28708985,0.5292557,0.8712484,0.81555504,0.30180687,0.7395653,0.18172023,0.80563354,0.2524316,0.393227
17,0.0070887725,0.99283844,0.66184306,0.15419878,0.48736244,0.3234619,0.05973283,0.06636072,0.019494973,0.5114299,0.06749933,0.10494544,0.0027326983,0.11316038,0.0047882637,0.003271777,0.049402155,0.058968406,0.022597753,0.26022306,0.289764,0.009317954,0.11139608,0.005046329,0.24446833,0.28959432,0.07432039,0.0019049086,0.00094018533,0.003237409,0.025183395,0.0010823146,0.02942607,0.353092,0.017212953
18,0.02218367,0.98453856,0.42930236,0.16255955,0.3707165,0.3851922,0.017649788,0.09790513,0.012135685,0.61468047,0.040640436,0.10356423,0.0010764899,0.15983866,0.0025478327,0.00269944,0.043680094,0.07695874,0.019203996,0.31993005,0.35687983,0.0047399644,0.11318083,0.0040730694,0.19351141,0.39537027,0.07009816,0.0016995182,0.0008369351,0.002776884,0.023068938,0.0010396934,0.034653533,0.1728811,0.0076607396
19,0.8139925,0.6930009,0.42376316,0.17604335,0.37208024,0.13282238,0.13663189,0.22616966,0.13448863,0.076156594,0.13978037,0.37347528,0.0053861644,0.76930726,0.8965694,0.98732215,0.12786002,0.12970595,0.027288219,0.4482072,0.3645497,0.71958035,0.41234633,0.023268461,0.19952637,0.23954178,0.36584568,0.018087782,0.9921713,0.92549163,0.9065579,0.0071499823,0.4829005,0.15028882,0.052354615
20,0.27144685,0.013238553,0.28642815,0.19848472,0.46786052,0.09957395,0.11226059,0.052805744,0.03868215,0.05393199,0.10223943,0.10977933,0.0028343808,0.17736967,0.20104869,0.009143047,0.06191946,0.106736496,0.03785573,0.56159216,0.4977085,0.23422134,0.09825988,0.23717162,0.20439747,0.25956368,0.453671,0.008448711,0.9314804,0.8288166,0.9376445,0.0014849706,0.07121878,0.20304611,0.03592622
21,0.8838233,0.65222985,0.52407956,0.3185758,0.37330797,0.19504553,0.07571339,0.38657844,0.047450695,0.3078416,0.34474388,0.22259489,0.04050782,0.7700972,0.06759572,0.0045069056,0.21524514,0.09308332,0.038019035,0.49189228,0.30049995,0.02878632,0.13209772,0.007710842,0.59147346,0.29453927,0.61945784,0.004260688,0.0021375867,0.007081727,0.822099,0.0015188437,0.033059366,0.22827901,0.028598756
22,0.98656726,0.27327412,0.22048491,0.5646838,0.3836213,0.15708956,0.07995382,0.07645424,0.028136183,0.22612076,0.5209513,0.19864298,0.028802525,0.11692324,0.0030641188,0.002814646,0.039763495,0.06244896,0.023095781,0.3782087,0.45741624,0.008440298,0.10305977,0.00810062,0.33037975,0.24257822,0.104230754,0.0021425274,0.0010387711,0.003280456,0.109803796,0.0012611792,0.01574158,0.25543603,0.010926722
23,0.008180927,0.99151695,0.27715504,0.2560168,0.4342577,0.14215547,0.021831356,0.45208183,0.011194877,0.26424333,0.083256096,0.10166637,0.0021932495,0.1235273,0.0025987332,0.002476494,0.036785986,0.05634902,0.026490688,0.2272556,0.4419002,0.005490056,0.0855369,0.0045397375,0.31551847,0.2915251,0.050097734,0.0017434112,0.00086616754,0.0027488673,0.016837768,0.001014876,0.034779098,0.48100486,0.018012993
24,0.8414042,0.050867386,0.46576625,0.50009555,0.34800118,0.6734215,0.046763796,0.38876447,0.022677891,0.7951444,0.5182589,0.11494108,0.028789172,0.18770963,0.008106991,0.0030818533,0.056886125,0.108990125,0.027106913,0.37057114,0.34704262,0.024309557,0.09686352,0.0075858845,0.47235197,0.32562923,0.22097157,0.0022461175,0.0010435231,0.0044277343,0.09790007,0.0013413874,0.024960343,0.27195346,0.022853382
25,0.02147277,0.98155516,0.40218967,0.8164796,0.38490567,0.7490579,0.36869732,0.95931333,0.026487628,0.906473,0.12622385,0.09390399,0.033480376,0.1169762,0.0049210466,0.0033970193,0.11564982,0.064996794,0.021658728,0.39277872,0.33128124,0.26999032,0.08220795,0.023995627,0.19331616,0.2776276,0.7342802,0.0022225175,0.00087308517,0.0027359661,0.13917926,0.0011656338,0.023314334,0.37375337,0.01637506
26,0.1791518,0.10315682,0.2546569,0.30970225,0.48849705,0.1044352,0.033736054,0.20447236,0.023015246,0.061467532,0.122478746,0.07082283,0.0028395767,0.29145324,0.016810425,0.0057563125,0.13387446,0.13330549,0.029469108,0.59550816,0.5572866,0.30597436,0.07162403,0.5766504,0.18449429,0.2562026,0.8832755,0.003315254,0.0037346268,0.020850467,0.78078157,0.0013185405,0.024700284,0.2862546,0.022228375
27,0.0073098573,0.1002486,0.3521875,0.23853107,0.41379288,0.108606555,0.13927463,0.051386543,0.25258586,0.07908765,0.11096849,0.16627556,0.0039895964,0.2544365,0.08282664,0.021702085,0.21130796,0.17364785,0.07977991,0.6391392,0.5221686,0.9329688,0.13452074,0.6115358,0.24802315,0.24606884,0.67196476,0.03419411,0.90486336,0.16187477,0.70534986,0.0056533213,0.099362835,0.31054795,0.027427204
28,0.9671847,0.28069884,0.4392393,0.24919914,0.47087196,0.13189387,0.79524857,0.6099644,0.7944439,0.15076436,0.17762643,0.39506245,0.006921652,0.44573715,0.50349474,0.0366729,0.1031469,0.11417275,0.045433756,0.6304556,0.48070273,0.55792934,0.18544751,0.057752844,0.24303597,0.24399312,0.67662126,0.051390257,0.4096129,0.24741773,0.8942572,0.0035625324,0.5098351,0.34539193,0.052082017
29,0.07085537,0.17819893,0.42003477,0.20372576,0.47795877,0.131313,0.32381025,0.34644985,0.6884384,0.09668431,0.1789336,0.5345205,0.0064872527,0.6883283,0.6990878,0.87271446,0.21424635,0.22526357,0.19751526,0.56529254,0.50726974,0.74059284,0.28738886,0.36523825,0.30266914,0.268174,0.55512136,0.08183757,0.9938672,0.53505975,0.8648459,0.0062986584,0.38907033,0.26555827,0.12207358
30,0.77721167,0.8324507,0.28896198,0.24254401,0.4488212,0.16132428,0.14815356,0.46715918,0.05548594,0.1104354,0.2507416,0.41999575,0.012161192,0.43380544,0.8069655,0.014876865,0.10655302,0.13367455,0.035803307,0.49704704,0.40452248,0.13549142,0.20450248,0.067747705,0.31587392,0.28335178,0.56577504,0.01633161,0.9972488,0.6997821,0.8700874,0.0017118149,0.03496523,0.21552597,0.11426143
31,0.12504196,0.12125063,0.3922637,0.21252967,0.48617685,0.097800255,0.052582838,0.1999178,0.23543318,0.066512465,0.13680454,0.49191827,0.0031930704,0.73099047,0.84995085,0.22993062,0.21957943,0.12227691,0.03303039,0.6394051,0.50463253,0.3505801,0.21933162,0.7569404,0.20247996,0.25288147,0.8516912,0.0052817743,0.9677311,0.87452435,0.8696379,0.011682396,0.16326581,0.16430336,0.043952078
