,Biodiversity and Land Use,Carbon Emissions,Climate Change Vulnerability,Electronic Waste,Financing Environmental Impact,Opportunities in Clean Tech,Opportunities in Green Building,Opportunities in Renewable Energy,Packaging Material and Waste,Product Carbon Footprint,Raw Material Sourcing,Toxic Emissions and Waste,Water Stress,Accounting,Board,Business Ethics,Ownership and Control,Pay,Tax Transparency,Access to Communications,Access to Finance,Access to Health Care,Chemical Safety,Community Relations,Controversial Sourcing,Financial Product Safety,Health and Demographic Risk,Health and Safety,Human Capital Development,Labor Management,Opportunities in Nutrition and Health,Privacy and Data Security,Product Safety and Quality,Responsible Investment,Supply Chain Labor Standards
13,0.994572,0.0598931,0.49232745,0.22358,0.41455793,0.13031474,0.16128692,0.026162276,0.55400693,0.19446245,0.25144902,0.53963643,0.99195427,0.106371775,0.0049208337,0.0027635363,0.058169957,0.06169289,0.029605575,0.28178862,0.32309988,0.012576809,0.35106772,0.014814602,0.57114154,0.28796268,0.10343986,0.0027133536,0.0011491042,0.003970487,0.1715484,0.0011690124,0.022342924,0.1895291,0.008795979
14,0.6774318,0.91060245,0.67853427,0.1486448,0.40246493,0.15095417,0.029903011,0.1068491,0.10354232,0.19553153,0.22685753,0.14469168,0.41645095,0.12952414,0.0051652803,0.008362945,0.0877289,0.057392333,0.118597105,0.3278071,0.3553522,0.09672703,0.1291008,0.9842444,0.41908735,0.28522068,0.09849872,0.005120386,0.0019314445,0.009902205,0.44025415,0.0013390675,0.037803818,0.11782082,0.056418598
15,0.9942048,0.013821026,0.6591812,0.16971517,0.36671278,0.43736228,0.046291996,0.03114085,0.058322422,0.76055723,0.44520098,0.18340747,0.9933994,0.13045412,0.0032214844,0.0025196979,0.21263477,0.07517017,0.039761588,0.2742009,0.35422474,0.015445684,0.13434587,0.009895985,0.24789286,0.3843358,0.14667282,0.0016862836,0.0011109854,0.004208038,0.052295867,0.0012239843,0.020362178,0.14044784,0.007469504
16,0.99297863,0.04292786,0.5175639,0.377928,0.39833885,0.16541715,0.6954656,0.052423477,0.6529343,0.15710899,0.48214313,0.6883334,0.99774146,0.11142643,0.026294915,0.0067390855,0.13929908,0.072296776,0.039895404,0.46648937,0.39449462,0.01842306,0.33265376,0.116318166,0.40167484,0.24589922,0.33793646,0.007268047,0.0013259156,0.0056297975,0.35695112,0.001261202,0.07264266,0.19339754,0.18438047
17,0.99152386,0.9845761,0.71546125,0.23612146,0.452707,0.09957134,0.054208457,0.40645766,0.85204023,0.20017652,0.36583877,0.9248036,0.99637526,0.19739625,0.0043870537,0.004803496,0.65128475,0.048099354,0.025681423,0.28695533,0.43317845,0.07993505,0.6902367,0.0064034606,0.29654592,0.30701673,0.6381957,0.0040572076,0.00093400595,0.0040117963,0.028763812,0.0011985553,0.059858818,0.12789431,0.0093325
18,0.9860945,0.9828789,0.59957534,0.16949019,0.381643,0.37308824,0.42775762,0.7476676,0.050993796,0.82692325,0.48978975,0.19963056,0.99471164,0.117368124,0.0037906563,0.003696314,0.3414375,0.08040708,0.025747685,0.2783829,0.29366535,0.05984286,0.16124476,0.009183657,0.5129842,0.40563583,0.18498103,0.0028693217,0.001030244,0.004050214,0.027756939,0.0012873434,0.02743825,0.21924865,0.016109215
19,0.98938304,0.9891399,0.80815613,0.40492463,0.36808622,0.6319679,0.1351604,0.59324145,0.72696376,0.8295252,0.66807055,0.9220963,0.9954893,0.1363229,0.004159539,0.0031954404,0.4588438,0.055054296,0.043907423,0.26528648,0.31015867,0.016953286,0.6843745,0.0052387896,0.4361686,0.34337223,0.23777944,0.002754959,0.0009269945,0.0046608,0.03148962,0.0012182925,0.028935002,0.12075205,0.008561567
20,0.024776652,0.99311054,0.71910334,0.13089317,0.4353312,0.66107863,0.057312567,0.9497356,0.18538159,0.92573243,0.15321392,0.14239192,0.003451335,0.12147396,0.003562035,0.0026865464,0.044823,0.04535384,0.021534564,0.21362162,0.26164266,0.005264367,0.22879052,0.0043066097,0.14323348,0.32770514,0.06227091,0.0018868786,0.0008099871,0.0033986743,0.018524125,0.0010510585,0.036387026,0.2784417,0.11861424
21,0.6077022,0.97409827,0.25985602,0.39946973,0.44478673,0.10395332,0.019706754,0.16209902,0.8809475,0.66879845,0.74524397,0.09300586,0.9677892,0.11642274,0.0027378583,0.004654909,0.16944382,0.051861018,0.021054529,0.35928705,0.29756021,0.9897306,0.1612732,0.9918542,0.45658576,0.3887441,0.14543588,0.37050676,0.00184173,0.0046101585,0.02502871,0.004052652,0.047883246,0.22123772,0.16268735
22,0.9943123,0.9916712,0.5647096,0.23251653,0.4276739,0.32753804,0.049521867,0.13925767,0.039261602,0.9078324,0.54172915,0.16732849,0.9931746,0.11601795,0.0033225697,0.0025570882,0.04854356,0.053480495,0.020376608,0.23037937,0.3252509,0.011809786,0.17942211,0.005943987,0.38196427,0.36766666,0.07169827,0.0018718999,0.000957798,0.003319623,0.019824509,0.0011358161,0.03741961,0.2818282,0.039271586
